geometry;ux;uy;p;x;y
1;0,35937139;1,4170577e-06;1,2002821;3,75;0,89999998
1;0,35937139;1,4170747e-06;1,1602821;3,8;0,89999998
1;0,35937139;1,4170918e-06;1,1202821;3,8499999;0,89999998
1;0,35937142;1,4171087e-06;1,0802821;3,9000001;0,89999998
1;0,35927379;0,00026128654;1,0435246;3,95;0,89999998
4;0,3592754;0;1;4;0,89999998
1;0,13106333;1,5158084e-06;1,8401487;2,95;0,94999999
1;0,13106334;1,5158266e-06;1,8001487;3;0,94999999
1;0,13106334;1,5158448e-06;1,7601486;3,05;0,94999999
1;0,13106336;1,515863e-06;1,7201487;3,0999999;0,94999999
1;0,13106336;1,5158812e-06;1,6801487;3,1500001;0,94999999
1;0,13106337;1,5158994e-06;1,6401486;3,2;0,94999999
1;0,13106337;1,5159176e-06;1,6001487;3,25;0,94999999
1;0,13106339;1,5159358e-06;1,5601487;3,3;0,94999999
1;0,13106339;1,515954e-06;1,5201488;3,3499999;0,94999999
1;0,1310634;1,5159721e-06;1,4801487;3,4000001;0,94999999
1;0,1310634;1,5159903e-06;1,4401487;3,45;0,94999999
1;0,13106342;1,5160085e-06;1,4001487;3,5;0,94999999
1;0,13106343;1,5160267e-06;1,3601487;3,55;0,94999999
1;0,13106343;1,5160449e-06;1,3201487;3,5999999;0,94999999
1;0,13106345;1,5160631e-06;1,2801487;3,6500001;0,94999999
1;0,13106345;1,5160813e-06;1,2401487;3,7;0,94999999
1;0,13106346;1,5160995e-06;1,2001487;3,75;0,94999999
1;0,13106346;1,5161177e-06;1,1601487;3,8;0,94999999
1;0,13106348;1,5161359e-06;1,1201487;3,8499999;0,94999999
1;0,13106348;1,516154e-06;1,0801487;3,9000001;0,94999999
1;0,13151713;0,00073813269;1,0250472;3,95;0,94999999
4;0,13037021;0;1;4;0,94999999
2;0;0;1,8400282;2,95;1
2;0;0;1,8000282;3;1
2;0;0;1,7600281;3,05;1
2;0;0;1,7200282;3,0999999;1
2;0;0;1,6800282;3,1500001;1
2;0;0;1,6400281;3,2;1
2;0;0;1,6000282;3,25;1
2;0;0;1,5600282;3,3;1
2;0;0;1,5200281;3,3499999;1
2;0;0;1,4800282;3,4000001;1
2;0;0;1,4400282;3,45;1
2;0;0;1,4000281;3,5;1
2;0;0;1,3600281;3,55;1
2;0;0;1,3200282;3,5999999;1
2;0;0;1,2800281;3,6500001;1
2;0;0;1,2400281;3,7;1
2;0;0;1,2000282;3,75;1
2;0;0;1,1600281;3,8;1
2;0;0;1,1200281;3,8499999;1
2;0;0;1,0800282;3,9000001;1
2;0;0;1,0626755;3,95;1
2;0;0;1,1592629;4;1
2;0;0;2,2065716;0;0
2;0;0;3,6000481;0,1;0
3;0,36000001;0;4,6199927;0;0,1
1;0,34746593;-2,557606e-06;4,1202774;0,1;0,1
2;0;0;3,5333812;0,2;0
1;0,34746593;-2,5576671e-06;4,0402775;0,2;0,1
2;0;0;3,4667146;0,30000001;0
1;0,34746596;-2,5577285e-06;3,9602773;0,30000001;0,1
2;0;0;3,400048;0,40000001;0
1;0,34746599;-2,5577899e-06;3,8802774;0,40000001;0,1
2;0;0;3,3333814;0,5;0
1;0,34746599;-2,5578513e-06;3,8002772;0,5;0,1
2;0;0;3,2667146;0,60000002;0
