geometry,ux,uy,p,x,y
1,0.918480396,-0.0045953365,1.38074315,2.29999995,0.349999994
1,0.917050362,-0.00443703774,1.33464503,2.3499999,0.349999994
1,0.916024923,-0.00331577589,1.27755308,2.4000001,0.349999994
1,0.915732145,-0.00266012968,1.24248326,2.45000005,0.349999994
1,0.915465117,-0.00219714618,1.21465552,2.5,0.349999994
1,0.914965272,-0.00166586752,1.17011619,2.54999995,0.349999994
1,0.91463691,-0.00117138936,1.12265491,2.5999999,0.349999994
1,0.914601505,-0.000917129335,1.08666646,2.6500001,0.349999994
1,0.914551914,-0.00068390934,1.05063224,2.70000005,0.349999994
1,0.914396644,-0.000460751151,1.00715041,2.75,0.349999994
1,0.914320111,-0.000317299768,0.964918852,2.79999995,0.349999994
1,0.914346755,-0.000237940563,0.926978052,2.8499999,0.349999994
1,0.914343953,-0.000154938942,0.887444496,2.9000001,0.349999994
1,0.914304733,-9.15835699E-05,0.845597267,2.95000005,0.349999994
1,0.914304137,-6.11459909E-05,0.805100679,3,0.349999994
1,0.914330721,-3.80127858E-05,0.765682161,3.04999995,0.349999994
1,0.914337516,-1.28532129E-05,0.725256324,3.0999999,0.349999994
1,0.914337277,1.93892197E-06,0.684388757,3.1500001,0.349999994
1,0.914353788,1.13403321E-05,0.644173265,3.20000005,0.349999994
1,0.91437459,2.51124256E-05,0.604086518,3.25,0.349999994
1,0.91438818,4.16612093E-05,0.563601673,3.29999995,0.349999994
1,0.914405882,6.16322577E-05,0.523090065,3.3499999,0.349999994
1,0.914432824,8.82450622E-05,0.482802272,3.4000001,0.349999994
1,0.914463401,0.00012824373,0.442524076,3.45000005,0.349999994
1,0.914500892,0.000183203389,0.402092576,3.5,0.349999994
1,0.914555728,0.000259402033,0.361553192,3.54999995,0.349999994
1,0.914626718,0.000343415217,0.321184486,3.5999999,0.349999994
1,0.914722502,0.000476030051,0.280932248,3.6500001,0.349999994
1,0.914851367,0.000575697515,0.24013418,3.70000005,0.349999994
1,0.915006459,0.000673586677,0.199441686,3.75,0.349999994
1,0.915184259,0.000642200874,0.159059197,3.79999995,0.349999994
1,0.915328562,0.000407017738,0.117956832,3.8499999,0.349999994
1,0.915348649,-0.000473264023,0.0768127069,3.9000001,0.349999994
1,0.915031791,-0.00225956878,0.0358140282,3.95000005,0.349999994
4,0.914580226,0,0,4,0.349999994
1,0.975195825,-0.00492118532,1.64131999,1.89999998,0.400000006
1,0.976992488,-0.00135653932,1.68370867,1.95000005,0.400000006
1,0.979203641,-0.00118174078,1.59921587,2,0.400000006
1,0.978779554,-0.000629695598,1.56226683,2.04999995,0.400000006
1,0.977793694,-0.00122141198,1.5691328,2.0999999,0.400000006
1,0.976590216,-0.00325468346,1.47471225,2.1500001,0.400000006
1,0.974454165,-0.00392626878,1.42294347,2.20000005,0.400000006
1,0.972575486,-0.00356484763,1.43475485,2.25,0.400000006
1,0.970981598,-0.00340871676,1.37174833,2.29999995,0.400000006
1,0.969345689,-0.00298001617,1.30611122,2.3499999,0.400000006
